Food,Nutrition Value (per 100g),Quantity,Originated From,Calories,Protein (g),Fiber (g),Vitamin C (mg),Antioxidant Score,location
Ginger,Anti-inflammatory Properties,"1 tbsp, grated",Southeast Asia,4,0.1,0.2,0.7,14840,"[-8.7287308, 115.2365646]"
Olive Oil,Rich in Monounsaturated Fats,1 tbsp,Mediterranean Region,119,0.0,0.0,0.0,1150,"[37.208647299999996, 30.692069903552955]"
Beets,High in Nitrates,"1 cup, raw",Mediterranean Region,58,2.2,3.8,6.7,1776,"[37.208647299999996, 30.692069903552955]"
Sardines,Rich in Omega-3 and Vitamin D,"3.75 oz, canned",Mediterranean Sea,191,22.7,0.0,0.0,1328,"[35.0000035, 19.9999957]"
Mushrooms,Good Source of Selenium,"1 cup, raw",Worldwide,15,2.2,1.0,2.8,692,"[53.45733965, -2.226958805052226]"
Tomatoes,High in Lycopene,1 medium,South America,22,1.1,1.5,15.6,1595,"[-21.0002179, -61.0006565]"
Oats,Rich in Beta-Glucan,"1 cup, cooked",Europe,166,5.9,4.0,0.0,1606,"[51.0, 10.0]"
Flaxseeds,High in Lignans,"1 tbsp, ground",Middle East,37,1.3,1.9,0.1,8983,"[39.3014159, -76.5888477]"
Brussels Sprouts,High in Vitamin K,"1 cup, cooked",Ancient Rome,56,4.0,4.1,96.7,980,"[49.81954, 73.0514492]"
Pumpkin Seeds,Rich in Magnesium,1 oz,North America,151,7.0,1.7,0.5,2500,"[51.0000002, -109.0]"
Black Beans,High in Fiber and Protein,"1 cup, cooked",South America,227,15.2,15.0,0.0,8494,"[-21.0002179, -61.0006565]"
Green Peas,Good Source of Vitamin K,"1 cup, cooked",Mediterranean Region,134,8.6,8.8,13.7,1754,"[37.208647299999996, 30.692069903552955]"
Asparagus,High in Folate,"1 cup, cooked",Eastern Mediterranean,27,2.9,2.8,12.3,2021,"[14.5661409, 120.9864569]"
Blackberries,Rich in Antioxidants,1 cup,Worldwide,62,2.0,7.6,30.2,5905,"[53.45733965, -2.226958805052226]"
Wild Rice,High in Protein and Fiber,"1 cup, cooked",North America,166,6.5,3.0,0.0,1506,"[51.0000002, -109.0]"
Seaweed,Rich in Iodine,"1 sheet, nori",Japan,1,0.1,0.3,0.7,3300,"[36.5748441, 139.2394179]"
Cauliflower,"Low in Calories, High in Nutrients","1 cup, raw",Cyprus,25,2.0,2.5,48.2,1058,"[34.9174159, 32.889902651331866]"
Coconut Oil,Contains Medium-Chain Triglycerides,1 tbsp,Southeast Asia,121,0.0,0.0,0.0,0,"[-8.7287308, 115.2365646]"
Red Bell Peppers,High in Vitamin C,"1 cup, chopped",Central/South America,46,1.5,3.1,190.0,1558,"[34.09198895, -117.55989250767249]"
Watercress,High in Vitamin K,"1 cup, chopped",Europe,4,0.8,0.2,14.6,1785,"[51.0, 10.0]"
Artichokes,High in Fiber,1 medium,Mediterranean Region,60,4.2,6.9,8.9,9416,"[37.208647299999996, 30.692069903552955]"
Cherries,Contains Melatonin,"1 cup, with pits",Asia Minor,97,1.6,3.2,10.8,3747,"[38.9519465, 35.501258483407554]"
Mango,High in Vitamin A,"1 cup, sliced",South Asia,99,1.4,2.6,60.1,1300,"[1.3019037500000001, 103.77750578747182]"
Pistachios,Good Source of Vitamin B6,1 oz (49 kernels),Central Asia,159,5.7,3.0,0.7,7675,"[39.4009215, 72.8676621]"
Kiwi,High in Vitamin C,1 medium,China,42,0.8,2.1,64.0,1210,"[35.0000663, 104.999955]"
Oranges,Rich in Vitamin C,1 medium,Southeast Asia,62,1.2,3.1,69.7,1819,"[-8.7287308, 115.2365646]"
Chickpeas,High in Protein and Fiber,"1 cup, cooked",Middle East,269,14.5,12.5,2.1,1283,"[39.3014159, -76.5888477]"
Papaya,Contains Papain Enzyme,"1 cup, cubed",Central America,62,0.9,2.5,168.0,1532,"[-30.29284845, 153.12561585745573]"
Cabbage,"Low in Calories, High in Vitamin K","1 cup, chopped",Europe,22,1.1,2.2,36.6,508,"[51.0, 10.0]"
Brazil Nuts,High in Selenium,1 oz (6-8 nuts),South America,186,4.1,2.1,0.2,1419,"[-21.0002179, -61.0006565]"
Cantaloupe,High in Vitamin A,"1 cup, cubed",Middle East/Africa,54,1.3,1.4,59.4,270,"[43.6474042, 7.119161818751147]"
