Food,Nutrition Value (per 100g),Quantity,Originated From,Calories,Protein (g),Fiber (g),Vitamin C (mg),Antioxidant Score,location,OFF Code,OFF Product Name,OFF Generic Name,OFF Category,OFF Brand,OFF Nutri-Score Grade,OFF Nutri-Score,OFF NOVA Group,OFF Fat (g),OFF Carbohydrates (g),OFF Sugar (g),OFF Salt (g),OFF Saturated Fat (g),OFF Image URL,OFF Match Score,OFF Match Method
Green Tea,High in Catechins,"1 cup, brewed",China,2,0.5,0.0,0.0,1253,"[35.0000663, 104.999955]",00277907,Green Tea,,"Beverages and beverages preparations,Plant-based foods and beverages,Beverages,Hot beverages,Plant-based beverages,Teas,Green teas",Sainsbury's,b,0,1,0,1.09,0,0.011,0,https://images.openfoodfacts.org/images/products/000/000/027/7907/front_en.17.400.jpg,138,local-name-to-openfoodfacts-bulk
Turmeric,Contains Curcumin,"1 tsp, ground",India,9,0.3,0.7,0.5,127068,"[22.3511148, 78.6677428]",0078742369419,Turmeric,,Condiments,Great Value,unknown,,1,3.25,44.4,3.21,0.068,1.09,https://images.openfoodfacts.org/images/products/007/874/236/9419/front_en.20.400.jpg,130,local-name-to-openfoodfacts-bulk
Eggs,Complete Protein Source,1 large,Worldwide,72,6.3,0.0,0.0,705,"[53.45733965, -2.226958805052226]",0096619102556,Egg,,"Farming products,Eggs",Costco,a,0,1,10,0,0,0.35,3,https://images.openfoodfacts.org/images/products/009/661/910/2556/front_en.49.400.jpg,142,local-name-to-openfoodfacts-bulk
Chia Seeds,High in Omega-3 and Fiber,1 oz,Central America,138,4.7,10.6,0.1,8983,"[-30.29284845, 153.12561585745573]",0041220177400,CHIA SEED,,"Specific products,Products for specific diets,Products without gluten,Omega3",H-E-B Organics,a,-1,1,29.1666666666667,41.6666666666667,0,0,4.16666666666667,https://images.openfoodfacts.org/images/products/004/122/017/7400/front_en.30.400.jpg,142,local-name-to-openfoodfacts-bulk
Greek Yogurt,High in Protein and Probiotics,6 oz,Greece,100,17.3,0.0,0.0,1050,"[38.9953683, 21.9877132]",0818290011305,Greek yogurt,,"Dairies,Fermented foods,Fermented milk products,Desserts,Dairy desserts,Fermented dairy desserts,Yogurts",,a,-4,1,0,4,2.67,0.0925,0,,146,local-name-to-openfoodfacts-bulk
Pomegranate,Rich in Antioxidants,1 medium,Middle East,234,4.7,11.3,28.8,10500,"[39.3014159, -76.5888477]",03223000,Pomegranate,Pomegranate,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Fruits based foods,Fruits,Pomegranates",Tesco,a,-2,1,0.2,11.8,11.8,0,0,https://images.openfoodfacts.org/images/products/000/000/322/3000/front_en.24.400.jpg,146,local-name-to-openfoodfacts-bulk
Walnuts,Good Source of Omega-3,1 oz (14 halves),Ancient Persia,185,4.3,1.9,0.4,13541,"[29.7810913, 51.5766156]",4088600416168,Walnut,,"Plant-based foods and beverages,Plant-based foods,Nuts and their products,Nuts,Walnuts",The Foodie Market,a,-6,1,70.6,6.1,2.7,0,6.5,https://images.openfoodfacts.org/images/products/408/860/041/6168/front_en.3.400.jpg,142,local-name-to-openfoodfacts-bulk
Ginger,Anti-inflammatory Properties,"1 tbsp, grated",Southeast Asia,4,0.1,0.2,0.7,14840,"[-8.7287308, 115.2365646]",3770027102007,Le ginger,,fr:boisson-concentree-a-diluer,Gopy,c,9,1,0.07,38,28,0.07,0.01,https://images.openfoodfacts.org/images/products/377/002/710/2007/front_fr.9.400.jpg,133,local-name-to-openfoodfacts-bulk
Olive Oil,Rich in Monounsaturated Fats,1 tbsp,Mediterranean Region,119,0.0,0.0,0.0,1150,"[37.208647299999996, 30.692069903552955]",0062356549251,Olive oil,,"Plant-based foods and beverages,Plant-based foods,Fats,Vegetable fats,Olive tree products,Vegetable oils,Olive oils",,b,2,2,100,0,0,0,16.666666666667,https://images.openfoodfacts.org/images/products/006/235/654/9251/front_fr.9.400.jpg,137,local-name-to-openfoodfacts-bulk
Beets,High in Nitrates,"1 cup, raw",Mediterranean Region,58,2.2,3.8,6.7,1776,"[37.208647299999996, 30.692069903552955]",4088600354972,Beet It,,,,unknown,,,11,1,0.5,0.02,1.4,https://images.openfoodfacts.org/images/products/408/860/035/4972/front_en.3.400.jpg,124,local-name-to-openfoodfacts-bulk
Sardines,Rich in Omega-3 and Vitamin D,"3.75 oz, canned",Mediterranean Sea,191,22.7,0.0,0.0,1328,"[35.0000035, 19.9999957]",8005634002316,Sardine,,"Seafood,Fishes and their products,Fishes,Fatty fishes,Sardines","Fiorital SpA, Little Fish srl",a,-2,1,9.48,0,0,0.22,2.4,https://images.openfoodfacts.org/images/products/800/563/400/2316/front_it.3.400.jpg,142,local-name-to-openfoodfacts-bulk
Mushrooms,Good Source of Selenium,"1 cup, raw",Worldwide,15,2.2,1.0,2.8,692,"[53.45733965, -2.226958805052226]",00381963,Mushroom,,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Vegetables based foods,Mushrooms and their products,Mushrooms",Sainsbury's,a,-2,,5,0,0,0,4,https://images.openfoodfacts.org/images/products/000/000/038/1963/front_en.14.400.jpg,132,local-name-to-openfoodfacts-bulk
Tomatoes,High in Lycopene,1 medium,South America,22,1.1,1.5,15.6,1595,"[-21.0002179, -61.0006565]",0057836020825,Tomatoes,,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Vegetables based foods,Vegetables,Tomatoes and their products,Tomatoes",Sunset,a,-5,1,0.26,2.49,2.48,0.0081,0.056,https://images.openfoodfacts.org/images/products/005/783/602/0825/front_en.9.400.jpg,127,local-name-to-openfoodfacts-bulk
Oats,Rich in Beta-Glucan,"1 cup, cooked",Europe,166,5.9,4.0,0.0,1606,"[51.0, 10.0]",5060362074373,Oat,,"Plant-based foods and beverages,Dairy substitutes,Milk substitutes",Plenish,a,0,3,0.6,7.2,3.1,0.0775,0.1,,132,local-name-to-openfoodfacts-bulk
Flaxseeds,High in Lignans,"1 tbsp, ground",Middle East,37,1.3,1.9,0.1,8983,"[39.3014159, -76.5888477]",5060221550178,Flaxseed,,"Plant-based foods and beverages,Plant-based foods,Seeds",,a,-11,1,42.200000762939,27.299999237061,1.5,0,3.7000000476837,https://images.openfoodfacts.org/images/products/506/022/155/0178/front_en.3.400.jpg,146,local-name-to-openfoodfacts-bulk
Brussels Sprouts,High in Vitamin K,"1 cup, cooked",Ancient Rome,56,4.0,4.1,96.7,980,"[49.81954, 73.0514492]",0011110897251,Brussels Sprouts,,Undefined,Kroger,a,-7,1,0,9.41176470588235,2.35294117647059,0.0441176470588235,0,https://images.openfoodfacts.org/images/products/001/111/089/7251/front_en.24.400.jpg,127,local-name-to-openfoodfacts-bulk
Pumpkin Seeds,Rich in Magnesium,1 oz,North America,151,7.0,1.7,0.5,2500,"[51.0000002, -109.0]",5000169375334,Pumpkin seed,,"Plant-based foods and beverages,Plant-based foods,Seeds,Pumpkin and Squash plant products,Cucurbitacea seeds,Pumpkin seeds and their products,Pumpkin seeds",Waitrose,a,-13,1,45.6,15.2,2,0,7.2,https://images.openfoodfacts.org/images/products/500/016/937/5334/front_en.22.400.jpg,142,local-name-to-openfoodfacts-bulk
Black Beans,High in Fiber and Protein,"1 cup, cooked",South America,227,15.2,15.0,0.0,8494,"[-21.0002179, -61.0006565]",0011110122094,BLACK BEANS,,"Plant-based foods and beverages,Plant-based foods,Legumes and their products,Canned foods,Legumes,Canned plant-based foods,Canned legumes,Canned common beans",kroger,a,-7,1,0,16.1538461538462,0.769230769230769,0.0192307692307692,0,https://images.openfoodfacts.org/images/products/001/111/012/2094/front_en.7.400.jpg,127,local-name-to-openfoodfacts-bulk
Green Peas,Good Source of Vitamin K,"1 cup, cooked",Mediterranean Region,134,8.6,8.8,13.7,1754,"[37.208647299999996, 30.692069903552955]",0011110128355,Green Peas,,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Vegetable-based foods and beverages,Frozen foods,Vegetables based foods,Frozen plant-based foods,Frozen vegetables",Kroger Traditional Favorites,a,-6,1,0,14.1176470588235,4.70588235294118,0,0,https://images.openfoodfacts.org/images/products/001/111/012/8355/front_en.4.400.jpg,127,local-name-to-openfoodfacts-bulk
Asparagus,High in Folate,"1 cup, cooked",Eastern Mediterranean,27,2.9,2.8,12.3,2021,"[14.5661409, 120.9864569]",0815616010097,Asparagus,,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Vegetables based foods,Vegetables,Vegetable rods,Asparagus,Green asparagus",Altar,a,-6,1,0,5.3763440860215,2.1505376344086,0,0,https://images.openfoodfacts.org/images/products/081/561/601/0097/front_en.11.400.jpg,127,local-name-to-openfoodfacts-bulk
Blackberries,Rich in Antioxidants,1 cup,Worldwide,62,2.0,7.6,30.2,5905,"[53.45733965, -2.226958805052226]",01848632,Blackberries,Blackberries,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Fruits based foods,Fruits,Berries,Fresh fruits,Blackberries,Fresh blackberries",Sainsbury's,a,-5,1,0.5,4.9,4.9,0.01,0.1,https://images.openfoodfacts.org/images/products/000/000/184/8632/front_en.14.400.jpg,131,local-name-to-openfoodfacts-bulk
Wild Rice,High in Protein and Fiber,"1 cup, cooked",North America,166,6.5,3.0,0.0,1506,"[51.0000002, -109.0]",0890166000507,Wild rice,,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Vegetables based foods,Vegetables,Vegetables from Spain,Rice",,a,-6,1,,,,,,https://images.openfoodfacts.org/images/products/089/016/600/0507/front_en.3.400.jpg,122,local-name-to-openfoodfacts-bulk
Seaweed,Rich in Iodine,"1 sheet, nori",Japan,1,0.1,0.3,0.7,3300,"[36.5748441, 139.2394179]",0911152013582,Roasted seaweed,,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Vegetable-based foods and beverages,Vegetables based foods,Vegetables,Mixed vegetables,Vegetable-and-lentil-mixes",Yama Moto Yama,a,-3,1,0,40,0,2,0,,127,local-name-to-openfoodfacts-bulk
Cauliflower,"Low in Calories, High in Nutrients","1 cup, raw",Cyprus,25,2.0,2.5,48.2,1058,"[34.9174159, 32.889902651331866]",5057373891075,Cauliflower,,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Vegetables based foods,Vegetables,Leaf vegetables,Cauliflowers",Tesco,a,-6,1,0.3,2.6,2.4,0.06,0.1,https://images.openfoodfacts.org/images/products/505/737/389/1075/front_en.3.400.jpg,142,local-name-to-openfoodfacts-bulk
Coconut Oil,Contains Medium-Chain Triglycerides,1 tbsp,Southeast Asia,121,0.0,0.0,0.0,0,"[-8.7287308, 115.2365646]",8032841434289,Coconut oil,,"Plant-based foods and beverages,Plant-based foods,Fats,Vegetable fats,Vegetable oils,Fruit and fruit seed oils,Coconut oils",,b,2,2,93,8,0,0,8,https://images.openfoodfacts.org/images/products/803/284/143/4289/front_it.3.400.jpg,137,local-name-to-openfoodfacts-bulk
Red Bell Peppers,High in Vitamin C,"1 cup, chopped",Central/South America,46,1.5,3.1,190.0,1558,"[34.09198895, -117.55989250767249]",5065016432059,Red Bell Pepper Pieces,,Freeze-dried-pepper,JUX,d,12,1,4,48,46,0.1,0.7,https://images.openfoodfacts.org/images/products/506/501/643/2059/front_en.3.400.jpg,110,local-name-to-openfoodfacts-bulk
Watercress,High in Vitamin K,"1 cup, chopped",Europe,4,0.8,0.2,14.6,1785,"[51.0, 10.0]",5059697766251,Watercress,,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Vegetables based foods,Vegetables,Leaf vegetables,Watercress",Tesco,a,-6,,0,0.5,0,0.05,0,https://images.openfoodfacts.org/images/products/505/969/776/6251/front_en.16.400.jpg,114,local-name-to-openfoodfacts-bulk
Artichokes,High in Fiber,1 medium,Mediterranean Region,60,4.2,6.9,8.9,9416,"[37.208647299999996, 30.692069903552955]",0825685000189,Artichoke,,,,unknown,,,0,12,1,0.15,0,https://images.openfoodfacts.org/images/products/082/568/500/0189/front_fr.3.400.jpg,124,local-name-to-openfoodfacts-bulk
Cherries,Contains Melatonin,"1 cup, with pits",Asia Minor,97,1.6,3.2,10.8,3747,"[38.9519465, 35.501258483407554]",4337256165525,Cherry Romatomaten,Cherry Romatomaten,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Vegetables based foods,Vegetables,Fresh foods,Fresh plant-based foods,Tomatoes and their products,Fresh vegetables,Tomatoes,Fresh tomatoes","Gemüsebau Steiner, marktliebe",a,-5,1,0.26,2.49,2.48,0.0081,0.056,https://images.openfoodfacts.org/images/products/433/725/616/5525/front_de.3.400.jpg,131,local-name-to-openfoodfacts-bulk
Mango,High in Vitamin A,"1 cup, sliced",South Asia,99,1.4,2.6,60.1,1300,"[1.3019037500000001, 103.77750578747182]",00094900,Mango,,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Fruits based foods,Fruits,Tropical fruits,Fresh fruits,Mangoes,Fresh mangoes",M&S Food,a,-2,1,0.6,10.7,10.4,0.01,0.1,https://images.openfoodfacts.org/images/products/000/000/009/4900/front_en.6.400.jpg,142,local-name-to-openfoodfacts-bulk
Pistachios,Good Source of Vitamin B6,1 oz (49 kernels),Central Asia,159,5.7,3.0,0.7,7675,"[39.4009215, 72.8676621]",5054781252948,Pistachio Nuts,,"Plant-based foods and beverages,Plant-based foods,Nuts and their products,Nuts,Pistachios",,a,-7,1,49,15,6.1999998092651,0.019999999552965,6.1999998092651,https://images.openfoodfacts.org/images/products/505/478/125/2948/front_en.18.400.jpg,131,local-name-to-openfoodfacts-bulk
Kiwi,High in Vitamin C,1 medium,China,42,0.8,2.1,64.0,1210,"[35.0000663, 104.999955]",13251212512000138254,Kiwi,,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Fruits based foods,Fruits,Fresh fruits,Kiwifruits,Fresh kiwifruits",,a,-3,1,0.6,11,8.9,0.0063,0.13,,146,local-name-to-openfoodfacts-bulk
Oranges,Rich in Vitamin C,1 medium,Southeast Asia,62,1.2,3.1,69.7,1819,"[-8.7287308, 115.2365646]",0033383130255,Orange,,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Fruits based foods,Fruits,Citrus,Fresh fruits,Oranges,Fresh oranges",Les emballages Marcan Inc.,a,-3,1,0.25,8.03,7.6,0.0063,0.005,https://images.openfoodfacts.org/images/products/003/338/313/0255/front_fr.14.400.jpg,142,local-name-to-openfoodfacts-bulk
Chickpeas,High in Protein and Fiber,"1 cup, cooked",Middle East,269,14.5,12.5,2.1,1283,"[39.3014159, -76.5888477]",7627534646769,Chickpea,,"Plant-based foods and beverages,Fermented foods,Dairy substitutes,Desserts,Non-dairy desserts,Non-dairy fermented foods,Non-dairy yogurts","Karma,Coop",b,1,,1.7,11,7.8,0.02,0.2,https://images.openfoodfacts.org/images/products/762/753/464/6769/front_fr.3.400.jpg,128,local-name-to-openfoodfacts-bulk
Papaya,Contains Papain Enzyme,"1 cup, cubed",Central America,62,0.9,2.5,168.0,1532,"[-30.29284845, 153.12561585745573]",00003112,Papaya,Papaya,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Fruits based foods,Fruits,Tropical fruits,Papayas",,a,-3,1,0.15,8.53,8.1,0.0063,0.005,https://images.openfoodfacts.org/images/products/000/000/000/3112/front_en.17.400.jpg,146,local-name-to-openfoodfacts-bulk
Cabbage,"Low in Calories, High in Vitamin K","1 cup, chopped",Europe,22,1.1,2.2,36.6,508,"[51.0, 10.0]",00266987,Savoy Cabbage,,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Vegetable-based foods and beverages,Vegetables based foods,Vegetables,Leaf vegetables,Cabbages",Marks & Spencers,a,-4,1,0.4,4.1,4,0.01,0.1,,127,local-name-to-openfoodfacts-bulk
Brazil Nuts,High in Selenium,1 oz (6-8 nuts),South America,186,4.1,2.1,0.2,1419,"[-21.0002179, -61.0006565]",8422791008607,Brazil nut,,"Plant-based foods and beverages,Plant-based foods,Nuts and their products,Nuts,Brazil nuts",Vegetalia,c,3,1,66,4.8,2.3,0.01,15,https://images.openfoodfacts.org/images/products/842/279/100/8607/front_es.3.400.jpg,133,local-name-to-openfoodfacts-bulk
Cantaloupe,High in Vitamin A,"1 cup, cubed",Middle East/Africa,54,1.3,1.4,59.4,270,"[43.6474042, 7.119161818751147]",0202934004981,Cantaloupe,,,,unknown,,,0,8,8,,0,https://images.openfoodfacts.org/images/products/020/293/400/4981/front_fr.3.400.jpg,121,local-name-to-openfoodfacts-bulk
Edamame,Good Source of Plant-Based Protein,"1 cup, shelled",East Asia,188,18.4,8.0,6.1,1510,"[-6.1951151, 106.69858181396745]",0060383995867,Edamame,,"Plant-based foods and beverages,Plant-based foods,Legumes and their products,Legumes,Seeds,Frozen foods,Legume seeds,Frozen plant-based foods,Frozen legumes,Soy beans,Edamame,Frozen edamame,Frozen-uncooked-soybeans,Individually-quick-frozen-shelled-edamame-soybeans",President's Choice,a,-10,1,4.70588235294118,8.23529411764706,2.35294117647059,0.0147058823529412,0.588235294117647,https://images.openfoodfacts.org/images/products/006/038/399/5867/front_en.69.400.jpg,142,local-name-to-openfoodfacts-bulk
Apples,Rich in Quercetin,1 medium,Central Asia,95,0.5,4.4,8.4,3049,"[39.4009215, 72.8676621]",00041010,Apple,,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Fruits based foods,Fruits",Braeburn,a,-2,1,0.13,10.7,10.1,0,0.021,,142,local-name-to-openfoodfacts-bulk
Brown Rice,Good Source of Manganese,"1 cup, cooked",Asia,216,5.0,3.5,0.0,1523,"[51.2086975, 89.2343748]",0011110847362,Instant Brown Rice,,Undefined,Kroger,a,0,1,3,78,0,0,0,https://images.openfoodfacts.org/images/products/001/111/084/7362/front_en.14.400.jpg,127,local-name-to-openfoodfacts-bulk
Figs,High in Calcium,1 medium,Western Asia,37,0.4,1.4,1.2,521,"[9.6021766, 122.4670994]",0608802536279,Fresh fig,,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Fruits based foods,Fruits,Figs",Litras fresh,a,-3,1,0.25,13.5,12.2,0.013,0.005,https://images.openfoodfacts.org/images/products/060/880/253/6279/front_en.3.400.jpg,127,local-name-to-openfoodfacts-bulk
Turnips,"Low in Calories, High in Vitamin C","1 cup, cubed",Europe/West Asia,36,1.1,2.3,27.3,575,"[90, 0]",0605388188311,Turnip greens,,,,unknown,,,0,3.125,0,0.37109375,0,https://images.openfoodfacts.org/images/products/060/538/818/8311/front_en.3.400.jpg,109,local-name-to-openfoodfacts-bulk
Hemp Seeds,Good Balance of Omega-3 and Omega-6,3 tbsp,Central Asia,166,9.5,1.2,0.1,6000,"[39.4009215, 72.8676621]",0059749979481,Hemp seeds,,"Plant-based foods and beverages,Plant-based foods,Seeds,Hemp seeds,Hulled-seeds",Life smart,a,-10,1,46.6666666666667,6.66666666666667,3.33333333333333,0,3.33333333333333,https://images.openfoodfacts.org/images/products/005/974/997/9481/front_en.20.400.jpg,127,local-name-to-openfoodfacts-bulk
Butternut Squash,High in Vitamin A,"1 cup, cubed",North America,63,1.4,2.8,31.0,1144,"[51.0000002, -109.0]",0011110847621,Butternut Squash,,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Vegetables based foods,Pumpkin and Squash plant products,Pumpkins and their products,Pumpkins,Butternut squashes",Simple truth,a,-5,1,0.1,4.6,1.88,0.034,0.017,https://images.openfoodfacts.org/images/products/001/111/084/7621/front_en.4.400.jpg,142,local-name-to-openfoodfacts-bulk
Red Grapes,Contains Resveratrol,1 cup,Mediterranean Region,104,1.1,1.4,3.2,1789,"[37.208647299999996, 30.692069903552955]",3770008632158,Red grape,,,,unknown,,,0,36,36,0,0,https://images.openfoodfacts.org/images/products/377/000/863/2158/front_fr.4.400.jpg,121,local-name-to-openfoodfacts-bulk
Pineapple,Contains Bromelain,"1 cup, chunks",South America,82,0.9,2.3,78.9,385,"[-21.0002179, -61.0006565]",5010251521341,Pineapple,,Tinned-food,,a,-2,1,0,12.2,12.2,0,0,https://images.openfoodfacts.org/images/products/501/025/152/1341/front_en.3.400.jpg,146,local-name-to-openfoodfacts-bulk
Collard Greens,High in Vitamin K,"1 cup, chopped",Ancient Greece,11,1.1,1.4,12.7,1067,"[37.771366099999995, 21.7434170878197]",0736393704026,Collard Green,,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Vegetable-based foods and beverages,Vegetables based foods,Vegetables,Leaf vegetables,Collard greens",Glory,a,0,,0.78125,6.25,2.34375,1.0546875,0,https://images.openfoodfacts.org/images/products/073/639/370/4026/front_en.4.400.jpg,132,local-name-to-openfoodfacts-bulk
Sunflower Seeds,High in Vitamin E,1 oz,North America,164,5.8,2.4,0.7,6372,"[51.0000002, -109.0]",00574082,Sunflower seeds,,"Plant-based foods and beverages,Plant-based foods,Seeds,Sunflower seeds and their products,Sunflower seeds",M&S,a,-9,1,47.5,16.4,1.6,0.1,4.5,https://images.openfoodfacts.org/images/products/000/000/057/4082/front_en.17.400.jpg,127,local-name-to-openfoodfacts-bulk
Raspberries,High in Ellagic Acid,1 cup,Northern Europe/Asia,64,1.5,8.0,32.2,4882,"[16.853218, 96.117122]",0853085003370,Raspberry,,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Fruits based foods,Fruits,Berries,Raspberries",Berry Fresh,a,-6,1,0.8,5.83,5.4,0.0063,0.13,https://images.openfoodfacts.org/images/products/085/308/500/3370/front_en.4.400.jpg,142,local-name-to-openfoodfacts-bulk
Clams,High in Vitamin B12,3 oz,Worldwide,126,22.0,0.0,22.1,7980,"[53.45733965, -2.226958805052226]",0070718002030,Clam Chowder,,"Canned foods,Meals,Soups,Canned meals,Canned soups,Clam-chowder",Bar Harbor,b,2,3,4.62287104622871,7.05596107055961,0.72992700729927,0.462287104622871,1.21654501216545,https://images.openfoodfacts.org/images/products/007/071/800/2030/front_en.3.400.jpg,113,local-name-to-openfoodfacts-bulk
Grapefruit,"Low in Calories, High in Vitamin C",1/2 medium,Caribbean,52,0.9,2.0,88.1,1548,"[18.4, -75.0]",4260718531203,Grapefruit,,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Fruits based foods,Fruits,Citrus,Fresh fruits,Grapefruits",,a,-4,1,0.25,8.02,6.6,0.0063,0.005,https://images.openfoodfacts.org/images/products/426/071/853/1203/front_de.3.400.jpg,146,local-name-to-openfoodfacts-bulk
